REF_DATE,GEO,DGUID,Gender,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2024,Nova Scotia,2021A000212,Men+,25 to 29 years,Persons,249,units,0,v467722,4.2.37,41415,,,,0
2024,Nova Scotia,2021A000212,Men+,30 to 34 years,Persons,249,units,0,v467743,4.2.43,38681,,,,0
2024,Nova Scotia,2021A000212,Men+,35 to 39 years,Persons,249,units,0,v467761,4.2.49,35580,,,,0
2024,Nova Scotia,2021A000212,Men+,40 to 44 years,Persons,249,units,0,v467782,4.2.55,33259,,,,0
2024,Nova Scotia,2021A000212,Men+,45 to 49 years,Persons,249,units,0,v467803,4.2.61,30619,,,,0
2024,Nova Scotia,2021A000212,Men+,50 to 54 years,Persons,249,units,0,v467821,4.2.67,31723,,,,0
2024,Nova Scotia,2021A000212,Men+,55 to 59 years,Persons,249,units,0,v467842,4.2.73,34028,,,,0
2024,Nova Scotia,2021A000212,Men+,60 to 64 years,Persons,249,units,0,v467860,4.2.79,39969,,,,0
2024,Nova Scotia,2021A000212,Men+,65 to 69 years,Persons,249,units,0,v467881,4.2.85,36180,,,,0
2024,Nova Scotia,2021A000212,Men+,70 to 74 years,Persons,249,units,0,v467884,4.2.86,29279,,,,0
2024,Nova Scotia,2021A000212,Men+,75 to 79 years,Persons,249,units,0,v467887,4.2.87,22914,,,,0
2024,Nova Scotia,2021A000212,Men+,80 to 84 years,Persons,249,units,0,v467890,4.2.88,12948,,,,0
2024,Nova Scotia,2021A000212,Men+,85 to 89 years,Persons,249,units,0,v467893,4.2.89,6642,,,,0
2024,Nova Scotia,2021A000212,Men+,90 to 94 years,Persons,249,units,0,v31226654,4.2.126,2340,,,,0
2024,Nova Scotia,2021A000212,Men+,95 to 99 years,Persons,249,units,0,v31226660,4.2.132,422,,,,0
2024,Nova Scotia,2021A000212,Men+,100 years and older,Persons,249,units,0,v31226666,4.2.138,48,,,,0
2024,Nova Scotia,2021A000212,Men+,Median age,Years,308,units,0,v467635,4.2.105,41.8,,,,1
2024,Nova Scotia,2021A000212,Women+,All ages,Persons,249,units,0,v467615,4.3.1,547176,,,,0
2024,Nova Scotia,2021A000212,Women+,0 to 4 years,Persons,249,units,0,v467831,4.3.7,20394,,,,0
2024,Nova Scotia,2021A000212,Women+,5 to 9 years,Persons,249,units,0,v467645,4.3.13,24899,,,,0
2024,Nova Scotia,2021A000212,Women+,10 to 14 years,Persons,249,units,0,v467663,4.3.19,26251,,,,0
2024,Nova Scotia,2021A000212,Women+,15 to 19 years,Persons,249,units,0,v467684,4.3.25,25862,,,,0
2024,Nova Scotia,2021A000212,Women+,20 to 24 years,Persons,249,units,0,v467705,4.3.31,33144,,,,0
2024,Nova Scotia,2021A000212,Women+,25 to 29 years,Persons,249,units,0,v467723,4.3.37,36888,,,,0
2024,Nova Scotia,2021A000212,Women+,30 to 34 years,Persons,249,units,0,v467744,4.3.43,37871,,,,0
2024,Nova Scotia,2021A000212,Women+,35 to 39 years,Persons,249,units,0,v467762,4.3.49,35398,,,,0
2024,Nova Scotia,2021A000212,Women+,40 to 44 years,Persons,249,units,0,v467783,4.3.55,34049,,,,0
2024,Nova Scotia,2021A000212,Women+,45 to 49 years,Persons,249,units,0,v467804,4.3.61,31818,,,,0
2024,Nova Scotia,2021A000212,Women+,50 to 54 years,Persons,249,units,0,v467822,4.3.67,33665,,,,0
2024,Nova Scotia,2021A000212,Women+,55 to 59 years,Persons,249,units,0,v467843,4.3.73,36176,,,,0
2024,Nova Scotia,2021A000212,Women+,60 to 64 years,Persons,249,units,0,v467861,4.3.79,41776,,,,0
2024,Nova Scotia,2021A000212,Women+,65 to 69 years,Persons,249,units,0,v467882,4.3.85,38645,,,,0
2024,Nova Scotia,2021A000212,Women+,70 to 74 years,Persons,249,units,0,v467885,4.3.86,32401,,,,0
2024,Nova Scotia,2021A000212,Women+,75 to 79 years,Persons,249,units,0,v467888,4.3.87,26011,,,,0
2024,Nova Scotia,2021A000212,Women+,80 to 84 years,Persons,249,units,0,v467891,4.3.88,16161,,,,0
2024,Nova Scotia,2021A000212,Women+,85 to 89 years,Persons,249,units,0,v467894,4.3.89,9410,,,,0
2024,Nova Scotia,2021A000212,Women+,90 to 94 years,Persons,249,units,0,v31226667,4.3.126,4654,,,,0
2024,Nova Scotia,2021A000212,Women+,95 to 99 years,Persons,249,units,0,v31226673,4.3.132,1418,,,,0
2024,Nova Scotia,2021A000212,Women+,100 years and older,Persons,249,units,0,v31226679,4.3.138,285,,,,0
2024,Nova Scotia,2021A000212,Women+,Median age,Years,308,units,0,v467636,4.3.105,44.8,,,,1
2024,New Brunswick,2021A000213,Men+,All ages,Persons,249,units,0,v467929,5.2.1,424996,,,,0
2024,New Brunswick,2021A000213,Men+,0 to 4 years,Persons,249,units,0,v468145,5.2.7,17652,,,,0
2024,New Brunswick,2021A000213,Men+,5 to 9 years,Persons,249,units,0,v467959,5.2.13,21374,,,,0
2024,New Brunswick,2021A000213,Men+,10 to 14 years,Persons,249,units,0,v467977,5.2.19,22748,,,,0
2024,New Brunswick,2021A000213,Men+,15 to 19 years,Persons,249,units,0,v467998,5.2.25,23096,,,,0
2024,New Brunswick,2021A000213,Men+,20 to 24 years,Persons,249,units,0,v468019,5.2.31,26000,,,,0
2024,New Brunswick,2021A000213,Men+,25 to 29 years,Persons,249,units,0,v468037,5.2.37,27198,,,,0
2024,New Brunswick,2021A000213,Men+,30 to 34 years,Persons,249,units,0,v468058,5.2.43,27149,,,,0
2024,New Brunswick,2021A000213,Men+,35 to 39 years,Persons,249,units,0,v468076,5.2.49,27159,,,,0
2024,New Brunswick,2021A000213,Men+,40 to 44 years,Persons,249,units,0,v468097,5.2.55,27275,,,,0
2024,New Brunswick,2021A000213,Men+,45 to 49 years,Persons,249,units,0,v468118,5.2.61,26362,,,,0
2024,New Brunswick,2021A000213,Men+,50 to 54 years,Persons,249,units,0,v468136,5.2.67,26741,,,,0
2024,New Brunswick,2021A000213,Men+,55 to 59 years,Persons,249,units,0,v468157,5.2.73,28184,,,,0
2024,New Brunswick,2021A000213,Men+,60 to 64 years,Persons,249,units,0,v468175,5.2.79,31920,,,,0
2024,New Brunswick,2021A000213,Men+,65 to 69 years,Persons,249,units,0,v468196,5.2.85,29814,,,,0
2024,New Brunswick,2021A000213,Men+,70 to 74 years,Persons,249,units,0,v468199,5.2.86,24812,,,,0
2024,New Brunswick,2021A000213,Men+,75 to 79 years,Persons,249,units,0,v468202,5.2.87,18982,,,,0
2024,New Brunswick,2021A000213,Men+,80 to 84 years,Persons,249,units,0,v468205,5.2.88,10837,,,,0
2024,New Brunswick,2021A000213,Men+,85 to 89 years,Persons,249,units,0,v468208,5.2.89,5373,,,,0
2024,New Brunswick,2021A000213,Men+,90 to 94 years,Persons,249,units,0,v31226693,5.2.126,1874,,,,0
2024,New Brunswick,2021A000213,Men+,95 to 99 years,Persons,249,units,0,v31226699,5.2.132,418,,,,0
